jenis,nama_lama,nama_baru
VIEW,RSVIEW_DB_RJS,SKVIEW_DB_RJS
VIEW,RSVIEW_DRRJANTRIAN,SKVIEW_DRRJANTRIAN
VIEW,RSVIEW_ERMSTATUS,SKVIEW_ERMSTATUS
VIEW,RSVIEW_RADS,SKVIEW_RADS
VIEW,RSVIEW_RJKASIR,SKVIEW_RJKASIR
VIEW,RSVIEW_RJRADS,SKVIEW_RJRADS
VIEW,RSVIEW_RJREGS,SKVIEW_RJREGS
VIEW,RSVIEW_RJSTRS,SKVIEW_RJSTRS
VIEW,RSVIEW_RJUPLOADBPJSES,SKVIEW_RJUPLOADBPJSES
VIEW,RSVIEW_RSLABS,SKVIEW_RSLABS
VIEW,SCVIEW_SCPOLIS,SKVIEW_SCPOLIS
VIEW,TKVIEW_ACCOUNTS,SKVIEW_ACCOUNTS
VIEW,TKVIEW_ACCOUNTS_LABARUGI,SKVIEW_ACCOUNTS_LABARUGI
VIEW,TKVIEW_ACCOUNTS_NERACA,SKVIEW_ACCOUNTS_NERACA
VIEW,TKVIEW_ACCTEMPLATE,SKVIEW_ACCTEMPLATE
VIEW,TKVIEW_HPPES,SKVIEW_HPPES
VIEW,TKVIEW_IOHUTANGS,SKVIEW_IOHUTANGS
VIEW,TKVIEW_IOPIUTANGS,SKVIEW_IOPIUTANGS
VIEW,TKVIEW_IOSTOCKWHS,SKVIEW_IOSTOCKWHS
VIEW,TKVIEW_LASTRCV,SKVIEW_LASTRCV
VIEW,TKVIEW_RCVDTLS,SKVIEW_RCVDTLS
VIEW,TKVIEW_RCVHDRS,SKVIEW_RCVHDRS
VIEW,TKVIEW_RCVPAYS,SKVIEW_RCVPAYS
VIEW,TKVIEW_SALDOAKHIRSTOCKS,SKVIEW_SALDOAKHIRSTOCKS
VIEW,TKVIEW_SALDOAWALHUTANG,SKVIEW_SALDOAWALHUTANG
VIEW,TKVIEW_SALDOAWALPIUTANG,SKVIEW_SALDOAWALPIUTANG
VIEW,TKVIEW_SALDOAWALSTOCKS,SKVIEW_SALDOAWALSTOCKS
VIEW,TKVIEW_SALDOSTOCK_LIST,SKVIEW_SALDOSTOCK_LIST
VIEW,TKVIEW_SLSHDRS,SKVIEW_SLSHDRS
VIEW,TKVIEW_SLSPAYS,SKVIEW_SLSPAYS
